lb,0,1,2,3,4,5,6,7,8,9
00,,1.1,1.3,1.4,1.5,1.3,1.1,1.5,1.5,1.1
01,,1.1,1.3,1.4,1.5,1.3,1.1,1.5,1.5,1.1
02,,1.1,1.3,1.4,1.5,1.3,1.1,,1.5,1.1
03,,1.1,1.3,1.4,1.4,1.3,1.1,1.5,1.5,1.1
04,,1.1,1.3,1.4,1.4,1.3,1.1,1.5,1.5,1.1
05,1.1,1.1,1.3,1.4,1.4,1.3,1.1,1.5,1.5,1.1
06,1.6,1.1,1.3,1.4,1.4,1.3,1.1,1.5,1.5,1.1
07,1.6,1.1,1.3,1.5,1.4,1.3,1.1,1.5,1.5,1.1
08,1.6,1.1,1.3,1.4,1.4,1.3,1.1,1.5,1.5,1.1
09,1.6,1.1,1.3,1.4,1.4,1.3,1.2,,1.5,
10,1.2,1.1,1.2,1.4,1.4,1.4,1.1,1.5,1.5,1.1
11,1.2,1.1,1.2,1.4,1.4,1.4,1.1,1.5,1.5,1.1
12,1.2,1.1,1.2,1.4,1.4,1.4,1.2,1.5,1.5,1.1
13,1.2,1.1,,1.4,1.4,1.4,1.2,1.5,1.5,1.1
14,1.2,1.1,1.2,1.4,1.4,1.3,1.2,1.5,1.5,1.1
15,1.2,1.1,1.2,1.4,1.4,1.4,1.2,,1.5,1.1
16,1.2,1.1,1.3,1.4,1.4,1.4,1.2,1.4,1.5,1.1
17,1.2,1.1,1.2,1.4,1.4,,1.2,1.4,,1.1
18,1.3,1.1,1.3,1.4,1.4,,1.2,1.5,,1.1
19,1.3,1.1,1.2,1.4,,,1.2,1.4,,1.2
20,1.3,1.2,1.3,1.4,1.5,1.3,1.3,1.4,1.5,1.2
21,1.3,1.2,1.3,1.3,1.5,1.3,,1.4,1.5,1.2
22,1.3,1.2,1.3,1.4,1.5,1.3,1.3,1.4,1.5,1.1
23,1.3,1.2,1.3,1.4,1.5,1.3,1.3,1.4,1.5,1.1
24,1.3,1.2,1.3,1.4,1.5,1.3,1.2,1.4,1.5,1.1
25,1.3,1.2,1.3,1.4,1.4,1.3,1.3,1.4,1.5,1.1
26,1.3,1.2,1.3,1.4,1.4,1.2,1.3,1.4,1.5,1.1
27,1.3,1.2,1.3,1.3,1.5,1.2,1.3,1.4,1.5,1.1
28,1.3,1.2,1.3,1.3,,1.2,1.3,1.4,1.5,1.1
29,1.3,1.2,1.3,1.3,,,1.3,1.4,1.5,
30,1.3,1.3,1.3,1.1,1.3,1.2,1.3,1.5,1.5,1.2
31,1.3,1.3,1.3,1.1,1.3,1.2,1.3,1.5,1.5,1.2
32,1.3,1.3,1.3,1.1,1.3,1.2,,,1.5,1.2
33,1.3,1.3,1.3,1.1,1.3,,1.3,1.5,1.4,1.2
34,1.3,1.3,1.3,1.2,1.3,1.2,1.3,1.5,1.5,1.2
35,1.3,1.3,1.3,1.3,1.3,1.2,1.3,1.5,1.5,1.2
36,1.3,1.3,1.3,1.3,1.3,,1.4,1.5,1.4,1.3
37,1.3,1.3,1.3,1.3,1.3,1.2,1.4,1.5,1.4,1.2
38,1.3,1.3,1.3,1.3,1.3,1.2,1.4,1.5,1.5,1.2
39,1.3,1.3,1.3,1.2,1.4,1.2,1.4,1.5,,1.1
40,1.3,1.3,1.4,1.1,1.3,1.4,1.4,1.4,1.4,1.1
41,1.3,1.3,1.4,1.2,1.3,1.3,1.4,1.4,1.4,1.1
42,1.3,1.3,1.4,1.3,1.3,1.3,,,1.4,1.2
43,1.3,1.3,1.4,,1.3,1.3,,1.4,1.4,1.1
44,1.4,1.3,1.3,1.4,1.3,1.3,1.4,1.4,1.4,1.1
45,1.3,1.3,1.4,,1.3,1.3,1.4,1.4,1.5,1.1
46,1.4,1.3,1.4,1.3,1.3,1.3,1.4,1.4,1.5,1.1
47,1.4,1.3,1.4,1.3,1.3,1.3,1.4,1.4,1.5,1.1
48,1.3,1.3,1.4,,1.3,1.3,1.4,1.5,,1.1
49,1.4,1.3,1.4,1.2,1.3,1.2,1.4,1.4,,1.1
50,1.3,1.4,1.4,1.5,1.3,1.4,1.3,1.5,1.4,1.1
51,1.3,1.4,1.4,1.5,1.3,1.4,1.3,1.5,1.4,1.1
52,1.3,1.4,1.4,1.5,1.3,,1.3,1.5,1.4,1.2
53,1.3,1.4,1.4,,1.3,1.4,1.3,1.5,1.4,1.2
54,1.3,1.4,1.2,1.5,1.3,1.4,1.4,1.5,,1.1
55,1.3,1.3,1.4,1.5,1.3,1.4,1.4,1.5,1.4,1.3
56,1.3,1.4,1.4,1.5,1.3,1.4,1.4,1.5,1.4,1.2
57,1.3,1.3,1.4,1.5,1.3,1.4,1.4,1.5,1.4,1.2
58,1.3,1.3,1.4,1.5,1.3,1.4,1.4,1.5,,1.2
59,1.3,1.3,1.4,1.5,1.3,1.4,,1.5,1.4,1.2
60,1.2,1.4,1.4,1.4,1.2,1.4,1.4,1.5,1.4,1.3
61,1.2,1.4,1.4,1.4,1.2,1.4,1.4,1.5,,1.3
62,1.2,1.4,1.4,1.5,1.2,1.4,1.4,1.5,,1.1
63,1.2,1.4,1.4,1.4,1.1,1.4,,1.5,1.4,1.1
64,1.2,1.4,1.4,1.4,1.1,1.4,1.4,1.5,1.3,1.1
65,1.2,1.4,1.4,1.4,1.2,1.4,1.4,1.5,1.5,1.1
66,1.1,1.3,1.4,1.4,1.2,1.4,1.4,1.5,,1.1
67,1.2,1.4,1.2,1.4,1.2,1.5,1.4,1.5,,1.8
68,1.1,1.3,1.3,1.4,1.2,,1.4,1.5,,1.8
69,1.1,1.2,,1.5,1.2,,1.4,1.5,,1.8
70,1.1,1.2,1.4,1.5,1.4,1.4,1.4,1.5,1.5,1.4
71,1.1,1.2,1.4,1.5,1.5,1.4,1.4,,1.5,1.4
72,1.1,1.2,1.4,1.5,1.5,1.4,1.4,1.5,,1.4
73,1.1,1.2,1.4,1.5,1.4,1.4,1.4,1.5,1.5,1.4
74,1.1,1.2,1.4,1.5,1.5,1.4,1.4,1.5,1.5,1.4
75,1.1,1.2,1.4,1.5,1.5,1.4,1.4,1.5,1.5,1.3
76,1.1,1.2,1.4,1.5,1.5,1.5,1.4,1.5,1.5,1.3
77,1.1,1.2,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.4
78,1.1,1.2,1.4,1.5,1.2,,1.4,1.5,1.5,1.4
79,1.1,1.2,1.4,1.5,1.2,,1.5,1.6,1.5,1.4
80,1.2,1.1,1.4,1.5,1.3,1.4,1.4,1.6,1.5,1.5
81,1.2,1.1,1.4,1.5,1.3,1.4,1.4,1.6,1.5,1.5
82,1.2,1.1,1.4,1.5,1.3,1.5,,1.6,1.5,1.5
83,1.2,1.1,1.4,1.5,1.3,1.5,1.4,1.6,1.5,1.5
84,1.2,1.1,1.4,1.5,1.3,1.4,1.4,1.6,1.5,1.5
85,1.1,1.1,1.4,1.5,1.3,1.5,1.4,1.6,1.6,1.5
86,1.1,1.1,1.4,1.5,1.3,1.5,1.4,1.5,,1.4
87,1.1,1.1,1.4,1.5,1.3,1.5,1.4,1.5,,
88,1.1,1.1,1.4,1.5,1.2,1.5,1.4,1.6,,1.5
89,1.1,1.2,1.4,1.5,1.2,,1.4,1.5,1.3,1.5
90,1.1,1.2,1.4,1.5,1.2,1.5,1.5,1.5,1.3,1.5
91,1.1,1.2,1.4,1.5,1.2,1.5,1.5,1.5,1.3,1.5
92,1.1,1.2,1.4,1.5,1.3,1.5,1.5,1.5,,1.5
93,1.1,1.2,1.4,1.5,1.2,1.5,1.5,1.5,1.4,1.5
94,1.1,1.2,1.5,1.5,1.2,1.5,,1.5,1.3,1.5
95,1.1,1.2,1.4,1.5,1.2,1.5,,1.5,1.3,1.8
96,1.1,1.2,1.4,1.5,1.3,1.5,,1.5,,1.8
97,1.1,1.2,1.4,1.5,1.3,1.5,,1.6,1.3,1.8
98,1.1,1.2,1.4,1.4,1.3,1.5,,1.6,1.4,1.7
99,,1.2,1.4,1.4,1.3,1.5,,1.6,,1.6
